id	date	fajr	maghrib	region_id
286	2021-05-12	4:09:00	20:14:00	9
287	2021-04-13	4:45:00	19:16:00	10
288	2021-04-14	4:44:00	19:17:00	10
289	2021-04-15	4:42:00	19:18:00	10
290	2021-04-16	4:40:00	19:19:00	10
291	2021-04-17	4:38:00	19:20:00	10
292	2021-04-18	4:36:00	19:21:00	10
293	2021-04-19	4:34:00	19:22:00	10
294	2021-04-20	4:35:00	19:22:00	10
295	2021-04-21	4:33:00	19:23:00	10
296	2021-04-22	4:31:00	19:25:00	10
297	2021-04-23	4:29:00	19:26:00	10
298	2021-04-24	4:27:00	19:27:00	10
299	2021-04-25	4:26:00	19:28:00	10
300	2021-04-26	4:24:00	19:29:00	10
301	2021-04-27	4:22:00	19:30:00	10
302	2021-04-28	4:20:00	19:31:00	10
303	2021-04-29	4:19:00	19:32:00	10
304	2021-04-30	4:18:00	19:33:00	10
305	2021-05-01	4:16:00	19:34:00	10
306	2021-05-02	4:14:00	19:35:00	10
307	2021-05-03	4:13:00	19:36:00	10
308	2021-05-04	4:11:00	19:37:00	10
309	2021-05-05	4:09:00	19:38:00	10
310	2021-05-06	4:08:00	19:39:00	10
311	2021-05-07	4:06:00	19:40:00	10
312	2021-05-08	4:05:00	19:41:00	10
313	2021-05-09	4:03:00	19:43:00	10
314	2021-05-10	4:03:00	19:43:00	10
315	2021-05-11	4:01:00	19:44:00	10
316	2021-05-12	4:00:00	19:45:00	10
317	2021-04-13	4:18:00	18:53:00	11
318	2021-04-14	4:17:00	18:54:00	11
319	2021-04-15	4:15:00	18:55:00	11
320	2021-04-16	4:13:00	18:56:00	11
321	2021-04-17	4:11:00	18:57:00	11
322	2021-04-18	4:09:00	18:58:00	11
323	2021-04-19	4:07:00	18:59:00	11
324	2021-04-20	4:06:00	19:00:00	11
325	2021-04-21	4:04:00	19:01:00	11
326	2021-04-22	4:02:00	19:03:00	11
327	2021-04-23	4:00:00	19:04:00	11
328	2021-04-24	3:58:00	19:05:00	11
329	2021-04-25	3:57:00	19:06:00	11
330	2021-04-26	3:55:00	19:07:00	11
331	2021-04-27	3:53:00	19:08:00	11
332	2021-04-28	3:51:00	19:09:00	11
333	2021-04-29	3:50:00	19:10:00	11
334	2021-04-30	3:49:00	19:11:00	11
335	2021-05-01	3:47:00	19:12:00	11
336	2021-05-02	3:45:00	19:13:00	11
337	2021-05-03	3:44:00	19:14:00	11
338	2021-05-04	3:42:00	19:15:00	11
339	2021-05-05	3:40:00	19:16:00	11
340	2021-05-06	3:39:00	19:17:00	11
341	2021-05-07	3:37:00	19:18:00	11
342	2021-05-08	3:36:00	19:19:00	11
343	2021-05-09	3:34:00	19:21:00	11
344	2021-05-10	3:33:00	19:21:00	11
345	2021-05-11	3:31:00	19:22:00	11
346	2021-05-12	3:30:00	19:23:00	11
347	2021-04-13	4:21:00	18:56:00	12
348	2021-04-14	4:20:00	18:57:00	12
349	2021-04-15	4:18:00	18:58:00	12
350	2021-04-16	4:16:00	18:59:00	12
351	2021-04-17	4:14:00	19:00:00	12
352	2021-04-18	4:12:00	19:01:00	12
353	2021-04-19	4:10:00	19:02:00	12
354	2021-04-20	4:09:00	19:02:00	12
355	2021-04-21	4:07:00	19:03:00	12
356	2021-04-22	4:05:00	19:05:00	12
357	2021-04-23	4:03:00	19:06:00	12
358	2021-04-24	4:01:00	19:07:00	12
359	2021-04-25	4:00:00	19:08:00	12
360	2021-04-26	3:58:00	19:09:00	12
361	2021-04-27	3:56:00	19:10:00	12
362	2021-04-28	3:54:00	19:11:00	12
363	2021-04-29	3:53:00	19:12:00	12
364	2021-04-30	3:51:00	19:13:00	12
365	2021-05-01	3:49:00	19:14:00	12
366	2021-05-02	3:47:00	19:15:00	12
367	2021-05-03	3:46:00	19:16:00	12
368	2021-05-04	3:44:00	19:17:00	12
369	2021-05-05	3:42:00	19:18:00	12
370	2021-05-06	3:41:00	19:19:00	12
371	2021-05-07	3:39:00	19:20:00	12
372	2021-05-08	3:38:00	19:21:00	12
373	2021-05-09	3:36:00	19:23:00	12
374	2021-05-10	3:36:00	19:24:00	12
375	2021-05-11	3:34:00	19:25:00	12
376	2021-05-12	3:33:00	19:26:00	12
377	2021-04-13	4:43:00	19:10:00	13
378	2021-04-14	4:42:00	19:11:00	13
379	2021-04-15	4:40:00	19:12:00	13
380	2021-04-16	4:38:00	19:13:00	13
381	2021-04-17	4:36:00	19:14:00	13
382	2021-04-18	4:34:00	19:15:00	13
383	2021-04-19	4:32:00	19:16:00	13
384	2021-04-20	4:33:00	19:15:00	13
385	2021-04-21	4:31:00	19:16:00	13
386	2021-04-22	4:29:00	19:18:00	13
387	2021-04-23	4:27:00	19:19:00	13
388	2021-04-24	4:25:00	19:20:00	13
389	2021-04-25	4:24:00	19:21:00	13
390	2021-04-26	4:22:00	19:22:00	13
391	2021-04-27	4:20:00	19:23:00	13
392	2021-04-28	4:18:00	19:24:00	13
393	2021-04-29	4:17:00	19:25:00	13
394	2021-04-30	4:18:00	19:25:00	13
395	2021-05-01	4:16:00	19:26:00	13
396	2021-05-02	4:14:00	19:27:00	13
397	2021-05-03	4:13:00	19:28:00	13
398	2021-05-04	4:11:00	19:29:00	13
399	2021-05-05	4:09:00	19:30:00	13
400	2021-05-06	4:08:00	19:31:00	13
401	2021-05-07	4:06:00	19:32:00	13
402	2021-05-08	4:05:00	19:33:00	13
403	2021-05-09	4:03:00	19:35:00	13
404	2021-05-10	4:04:00	19:34:00	13
405	2021-05-11	4:02:00	19:35:00	13
406	2021-05-12	4:01:00	19:36:00	13
407	2021-04-13	4:15:00	18:50:00	14
408	2021-04-14	4:14:00	18:51:00	14
409	2021-04-15	4:12:00	18:52:00	14
410	2021-04-16	4:10:00	18:53:00	14
411	2021-04-17	4:08:00	18:54:00	14
412	2021-04-18	4:06:00	18:55:00	14
413	2021-04-19	4:04:00	18:56:00	14
414	2021-04-20	4:03:00	18:57:00	14
415	2021-04-21	4:01:00	18:58:00	14
416	2021-04-22	3:59:00	19:00:00	14
417	2021-04-23	3:57:00	19:01:00	14
418	2021-04-24	3:55:00	19:02:00	14
419	2021-04-25	3:54:00	19:03:00	14
420	2021-04-26	3:52:00	19:04:00	14
421	2021-04-27	3:50:00	19:05:00	14
